TBK_t1,TBK_t2,TBK_t3
5.16,6.01,5.115000000000001
6.96,5.63,5.12
5.63,5.12,6.19
5.12,6.19,5.64
6.19,5.64,6.42
5.64,6.42,5.993333333333332
7.18,5.37,5.85
5.37,5.85,5.72
5.85,5.72,6.5
5.72,6.5,6.97
6.5,6.97,6.265000000000001
7.54,7.07,8.49
7.07,8.49,8.64
8.49,8.64,8.46
8.64,8.46,8.67
8.46,8.67,8.145000000000001
7.21,7.23,7.4
7.23,7.4,6.73
7.4,6.73,6.58
6.73,6.58,7.86
6.58,7.86,7.168333333333334
7.67,8.13,7.69
8.13,7.69,7.61
7.69,7.61,5.62
7.61,5.62,7.88
5.62,7.88,7.433333333333334
7.54,7.2,6.96
7.2,6.96,6.97
6.96,6.97,7.34
6.97,7.34,8.43
7.34,8.43,7.406666666666666
7.41,8.23,8.46
8.23,8.46,8.26
8.46,8.26,7.56
8.26,7.56,8.85
7.56,8.85,8.128333333333332
7.96,8.0,8.54
8.0,8.54,8.46
8.54,8.46,9.22
8.46,9.22,8.94
9.22,8.94,8.520000000000001
6.21,7.13,5.14
7.13,5.14,8.01
5.14,8.01,6.71
8.01,6.71,6.32
6.71,6.32,6.586666666666666
7.47,7.0,7.42
7.0,7.42,7.01
7.42,7.01,6.66
7.01,6.66,7.61
6.66,7.61,7.195
8.45,8.0,8.66
8.0,8.66,8.9
8.66,8.9,8.73
8.9,8.73,9.21
8.73,9.21,8.658333333333333
6.59,6.27,5.93
6.27,5.93,4.07
5.93,4.07,5.9
4.07,5.9,7.08
5.9,7.08,5.973333333333334
7.38,7.17,6.72
7.17,6.72,6.21
6.72,6.21,6.31
6.21,6.31,6.94
6.31,6.94,6.788333333333334
6.11,6.23,5.58
6.23,5.58,5.79
5.58,5.79,6.19
5.79,6.19,6.66
6.19,6.66,6.093333333333334
7.61,6.8,6.36
6.8,6.36,5.48
6.36,5.48,5.89
5.48,5.89,5.71
5.89,5.71,6.308333333333334
5.27,6.3,5.56
6.3,5.56,5.79
5.56,5.79,5.9
5.79,5.9,4.98
5.9,4.98,5.633333333333334
8.11,5.5,6.86
5.5,6.86,7.21
6.86,7.21,5.98
7.21,5.98,6.93
5.98,6.93,6.765000000000001
6.8,5.8,5.7
5.8,5.7,5.61
5.7,5.61,6.67
5.61,6.67,6.31
6.67,6.31,6.148333333333333
6.02,7.8,6.45
7.8,6.45,6.84
6.45,6.84,6.88
6.84,6.88,7.03
